_id,birthDate,birth year,birthPlace,birth city/country,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height_dup,height,highSchool,name,position,shoots,weight
barroea01,Aug-14,1981,Clarksdale, Mississippi,0.5,37.1,16.7,70.2,140,8.6,4.6,3.5,-0.6,37.3,University of Memphis,,,,,7-0,7.00,"Clarksdale in Clarksdale, Mississippi",Earl Barron,Center,Right,250
barroda01,Apr-13,1967,Boston, Massachusetts,3.3,46,41.1,85.8,850,16.4,10.5,1.9,49.6,53.6,Boston College,16th overall,1st round,Seattle SuperSonics,1989,05-Nov-23,5.11,"Xaverian in Westwood, Massachusetts",Dana Barros,Point Guard and Shooting Guard,Right,163
barrybr01,Dec-31,1971,Hempstead, New York,3.2,46,40.5,82.3,912,15.7,9.3,3,70.5,57,Oregon State University,15th overall,1st round,Denver Nuggets,1995,06-Jun-23,6.60,"De La Salle Catholic in Concord, California",Brent Barry,Small Forward and Shooting Guard,Right,185
barrydr01,Feb-17,1973,Oakland, California,1.9,41.7,38.1,77.4,60,9.8,2.2,1.1,0.6,53.4,Georgia Institute of Technology,57th overall,2nd round,Seattle SuperSonics,1996,06-May-23,6.50,"De La Salle Catholic in Concord, California",Drew Barry,Shooting Guard and Point Guard,Right,191
barryjo01,Jul-25,1969,Oakland, California,2.2,43.4,39.2,84.8,821,14.7,5.7,1.8,37.2,52.4,"University of the Pacific, Georgia Institute of Technology",21st overall,1st round,Boston Celtics,1992,06-Apr-23,6.40,"De La Salle Catholic in Concord, California",Jon Barry,Shooting Guard,Right,195
barryri01,Mar-28,1944,Elizabeth, New Jersey,4.9,45.6,29.7,89.3,1020,21,24.8,6.7,128.9,46,University of Miami,2nd overall,1st round,San Francisco Warriors,1965,06-Jul-23,6.70,"Roselle Park in Roselle Park, New Jersey",Rick Barry,Small Forward,Right,205
barteed01,Oct-08,1925,New York, New York,1,25.1,,53.8,32,-,4.2,4.9,-1.1,,North Carolina State University,,,,,06-May-23,6.50,"La Salle Academy in New York, New York",Ed Bartels,Forward,Right,195
bartovi01,Sep-29,1948,,,0.1,25.4,,80,38,4.4,0.9,1.6,-0.4,,Oregon State University,87th overall,6th round,San Francisco Warriors,1970,7-0,7.00,"Santa Barbara in Santa Barbara, California",Vic Bartolome,Center,Right,230
bartowi01,Jan-06,1991,Baltimore, Maryland,2.4,43.1,34.1,78.8,438,14.4,10.5,3.9,16.4,48.9,University of Memphis,40th overall,2nd round,Portland Trail Blazers,2012,06-Jun-23,6.60,"Brewster Academy in Wolfeboro, New Hampshire",Will Barton,Shooting Guard,Right,190
basdeed01,Feb-15,1983,New York, New York,0.4,40.5,14.3,80,19,10.3,2.1,1.5,0.2,41.9,University of North Carolina at Charlotte,,,,,06-May-23,6.50,"Eleanor Roosevelt in Greenbelt, Maryland",Eddie Basden,Small Forward,Right,215
baskeje01,Nov-10,1951,Philadelphia, Pennsylvania,0.1,30.8,,62.5,21,8,1.2,1.3,0,,Temple University,,,,,06-Jul-23,6.70,"Thomas Edison in Philadelphia, Pennsylvania",Jerry Baskerville,Small Forward,Right,190
bassbr01,Apr-30,1985,Baton Rouge, Louisiana,0.8,49.9,20.7,83.2,758,15.3,8.7,4.5,42.8,50,Louisiana State University,33rd overall,2nd round,New Orleans Hornets,2005,06-Aug-23,6.80,"Capitol in Baton Rouge, Louisiana",Brandon Bass,Power Forward and Center,Right,250
basseti01,Apr-01,1951,Washington, District of Columbia,1.2,42.3,28.6,58.8,473,10.2,6.2,6.7,12.9,42.4,University of Georgia,106th overall,7th round,Buffalo Braves,1973,06-Aug-23,6.80,"McKinley in Washington, District of Columbia",Tim Bassett,Power Forward,Left,225
bastoma01,May-29,1975,Corsicana, Texas,0.2,61.6,37.5,74,105,14.4,2.7,1.7,2.3,62.5,University of Michigan,58th overall,2nd round,Chicago Bulls,1998,06-Sep-23,6.90,"H. Grady Spruce in Dallas, Texas",Maceo Baston,Power Forward,Right,215
bateeme01,Nov-20,1975,Beijing, China,0.6,39.1,33.3,74.4,46,6.4,3.4,2.5,-0.1,40.7,,,,,,06-Nov-23,6.11,,Mengke Bateer,Center,Right,290
batesbi01,May-31,1956,Kosciusko, Mississippi,1.9,47.4,30.3,79.6,187,18.1,11.7,1.7,6.9,48.3,Kentucky State University,47th overall,3rd round,Houston Rockets,1978,06-Apr-23,6.40,"McAdams in Camden, Mississippi",Billy Ray Bates,Shooting Guard,Right,210
bateske01,Jan-23,1996,Bloomington, Illinois,0.6,42.3,25,64.3,30,9.6,5,2.8,0.3,46.8,Ohio State University,48th overall,2nd round,Minnesota Timberwolves,2018,06-Sep-23,6.90,"University HS in Normal, Illinois",Keita Bates-Diop,Small Forward,Right,229
batises01,Sep-02,1983,Montevideo, Uruguay,0.2,43.8,0,61.7,70,7.9,1.7,2.5,0.3,43.8,,,,,,06-Oct-23,6.10,,Esteban Batista,Power Forward,Left,270
batismi01,Nov-21,1977,Long Beach, California,0.7,42.2,22.2,78.4,75,12.2,6.4,3.4,0.8,44.1,Arizona State University,,,,,06-Aug-23,6.80,"Wilson in Long Beach, California",Mike Batiste,Power Forward,Right,225
battito01,Feb-11,1976,Dallas, Texas,0.6,48.8,16.2,69,837,12.6,6.1,5.1,36.4,49,Texas Tech University,5th overall,1st round,Denver Nuggets,1997,06-Nov-23,6.11,"South Oak Cliff in Dallas, Texas",Tony Battie,Center and Power Forward,Right,230
battish01,Sep-09,1978,Birmingham, Michigan,1.8,43.7,38.4,74.3,977,12.6,8.6,4.2,75.7,52.9,Duke University,6th overall,1st round,Memphis Grizzlies,2001,06-Aug-23,6.80,"Detroit Country Day School in Beverly Hills, Michigan",Shane Battier,Small Forward and Shooting Guard,Right,220
battljo01,Nov-09,1962,Washington, District of Columbia,2.1,46.4,27.3,79.3,612,13.7,8.7,1.3,17.9,47.1,Rutgers University,84th overall,4th round,Atlanta Hawks,1985,06-Feb-23,6.20,"McKinley in Washington, District of Columbia",John Battle,Shooting Guard,Right,175
battlke01,Oct-10,1964,Aurora, Illinois,0.8,50.4,13.3,72.5,134,12.5,4.7,2.4,3.7,50.8,"Northern Illinois University, University of Illinois at Urbana-Champaign",27th overall,1st round,Detroit Pistons,1989,06-Jun-23,6.60,"West Aurora in Aurora, Illinois",Kenny Battle,Shooting Guard,Left,210
battoda01,Mar-26,1956,Baltimore, Maryland,0.6,44.8,0,47.1,58,10.2,3.2,2.1,0.7,44.8,University of Notre Dame,62nd overall,3rd round,New Jersey Nets,1978,06-Oct-23,6.10,"Springfield (Delco) in Springfield, Pennsylvania",Dave Batton,Center,Right,240
battsll01,May-09,1951,Chicago, Illinois,1.8,36.6,28.6,61.7,58,11.3,10.3,3.4,-0.5,39.7,University of Cincinnati,60th overall,4th round,Kansas City-Omaha Kings,1974,06-Apr-23,6.40,"Thornton Township in Harvey, Illinois",Lloyd Batts,Shooting Guard,Right,185
batumni01,Dec-14,1988,Lisieux, France,3.8,43.5,35.8,84.1,767,14.9,11.8,5.3,54.1,51.9,,25th overall,1st round,Houston Rockets,2008,06-Aug-23,6.80,,Nicolas Batum,Small Forward and Shooting Guard,Right,200
baumjo01,Jun-17,1946,Philadelphia, Pennsylvania,0.6,48,0,75.8,244,13.8,6.1,2.7,5.7,48,Temple University,187th overall,15th round,Los Angeles Lakers,1968,06-May-23,6.50,"West Philadelphia in Philadelphia, Pennsylvania",Johnny Baum,Small Forward,Right,200
baumhfr01,Oct-07,1918,Midvale, Ohio,1.2,29.8,,77.6,45,-,14,-,3.8,,Ohio University,,,,,05-Oct-23,5.10,"Midvale in Midvale, Ohio",Frankie Baumholtz,Guard,Left,170
baxtelo01,Jan-27,1979,Silver Spring, Maryland,0.2,46.6,20,65.7,162,11.6,3.9,2.9,2.9,46.7,University of Maryland,44th overall,2nd round,Chicago Bulls,2002,06-Aug-23,6.80,"Hargrave Military Academy in Chatham, Virginia",Lonny Baxter,Power Forward and Center,Right,260
bayleje01,Aug-20,1988,Phoenix, Arizona,2.9,41.1,36.1,81.8,586,12.2,8.4,2.1,18.6,47.1,University of Arizona,11th overall,1st round,Indiana Pacers,2008,06-Mar-23,6.30,"Saint Mary's in Phoenix, Arizona",Jerryd Bayless,Point Guard and Shooting Guard,Right,200
bayloel01,Sep-16,1934,Washington, District of Columbia,4.3,43.1,,78,846,22.7,27.4,13.5,104.2,,"Albertson College of Idaho, Seattle University",and Minneapolis Lakers,1956 NBA Draf,Minneapolis Lakers,1st ,06-May-23,6.50,"Spingarn in Washington, District of Columbia",Elgin Baylor,Small Forward,Right,225
bayneho01,Jul-28,1942,Dayton, Ohio,1,36,14.3,53.8,69,8.2,4.9,6.6,0.8,36.1,University of Tennessee,107th overall,15th round,Baltimore Bullets,1966,06-Jun-23,6.60,,Howard Bayne,Power Forward,Right,235
baynear01,Dec-09,1986,Gisborne, New Zealand,0.7,49.8,28.1,80.8,427,14,5.4,4.4,17,50.5,Washington State University,,,,,06-Oct-23,6.10,,Aron Baynes,Center,Right,260
bazarse01,Mar-16,1965,Moscow, Russia,1.4,50,16.7,77.8,10,13.6,3,0.7,0.2,52.3,,,,,,06-Feb-23,6.20,,Sergei Bazarevich,Point Guard,Right,168
bazemke01,Jul-01,1989,Kelford, North Carolina,1.9,41.9,35.2,71.9,483,12.2,8.7,3.1,11,48.9,Old Dominion University,,,,,06-May-23,6.50,"Bertie in Windsor, North Carolina",Kent Bazemore,Small Forward and Shooting Guard,Left,201
beached01,Jan-25,1929,Elizabeth, New Jersey,0.3,21.1,,66.7,12,-,1.8,2.1,-0.3,,West Virginia University,1950 NBA Draft,5th roun,Minneapolis Lakers,,06-Mar-23,6.30,"Thomas Jefferson in Elizabeth, New Jersey",Ed Beach,Forward,Right,200
bealbr01,Jun-28,1993,St. Louis, Missouri,3.7,45.2,38.4,79.8,488,17.1,19.8,3.9,36.4,51.9,University of Florida,3rd overall,1st round,Washington Wizards,2012,06-May-23,6.50,"Chaminade College Preparatory School in St. Louis, Missouri",Bradley Beal,Shooting Guard,Right,207
beardal01,Apr-27,1942,Fort Valley, Georgia,0,52.2,-,54.5,12,6.3,2.5,3.8,0.3,52.2,Norfolk State University,,,,,06-Sep-23,6.90,"H.A. Hunt in Fort Valley, Georgia",Al Beard,Center,Right,200
beardbu01,May-04,1947,Hardinsburg, Kentucky,3.6,48.7,,77.1,605,15,9.3,3.4,32.8,,University of Louisville,10th overall,1st round,Atlanta Hawks,1969,06-Mar-23,6.30,"Breckenridge County in Hardinsburg, Kentucky",Butch Beard,Point Guard,Right,185
beardra01,Dec-02,1927,Hardinsburg, Kentucky,4.4,36.6,,77,126,-,15.9,3.8,11.2,,University of Kentucky,1949 BAA Draft,2nd roun,Chicago Stags,,05-Oct-23,5.10,"Male in Louisville, Kentucky",Ralph Beard,Guard,Right,175
beaslch01,Sep-23,1945,Shawnee, Oklahoma,3.1,45.6,23.8,86.4,281,11.9,9.4,2.5,15.4,46.3,Southern Methodist University,74th overall,7th round,Cincinnati Royals,1967,06-May-23,6.50,"Fair Park in Shreveport, Louisiana",Charles Beasley,Shooting Guard,Right,190
beaslje01,May-17,1980,Compton, California,0,33.3,-,-,2,5.9,1,0.5,0,33.3,"Midland College, University of North Dakota",33rd overall,2nd round,Miami Heat,2003,06-Oct-23,6.10,"Moreno Valley in Moreno Valley, California",Jerome Beasley,Power Forward,Right,237
beasljo01,Feb-05,1944,Texarkana, Texas,1.2,49.1,31.6,83.1,506,19.6,13.7,8.4,37.9,49.9,Texas A&M University,45th overall,5th round,Baltimore Bullets,1966,06-Sep-23,6.90,"Linden-Kildare in Kildare, Texas",John Beasley,Center and Power Forward,Right,225
beaslma01,Nov-26,1996,Atlanta, Georgia,0.8,46.1,38.8,78.9,165,13,7.2,1.7,5,56.2,Florida State University,19th overall,1st round,Denver Nuggets,2016,06-May-23,6.50,"Saint Francis in Alpharetta, Georgia",Malik Beasley,Shooting Guard,Right,195
beaslmi01,Jan-09,1989,Cheverly, Maryland,1.3,46.5,34.9,75.9,609,15.6,12.4,4.7,15.6,48.7,Kansas State University,2nd overall,1st round,Miami Heat,2008,06-Sep-23,6.90,"Notre Dame Preparatory School in Fitchburg, Massachusetts",Michael Beasley,Power Forward and Small Forward,Left,235
beatyze01,Oct-25,1939,Hillister, Texas,1.5,49.4,15.4,77.1,889,18.7,17.1,10.9,106,49.4,Prairie View A&M University,3rd overall,1st round,St. Louis Hawks,1962,06-Sep-23,6.90,"Woodville in Woodville, Texas",Zelmo Beaty,Center and Power Forward,Right,225
beaubro01,Feb-24,1988,Pointe-a-Pitre, Guadeloupe,2.1,43.9,32.5,81,182,14.5,7.1,1.9,4.8,49.6,,25th overall,1st round,Oklahoma City Thunder,2009,6-0,6.00,,Rodrigue Beaubois,Point Guard,Right,170
beckby01,Jan-25,1945,Ellensburg, Washington,1.3,50.5,29.5,81.1,747,16.3,11.5,7,55,50.5,University of Denver,15th overall,2nd round,Chicago Bulls,1967,06-Sep-23,6.90,"Kittitas in Ellensburg, Washington",Byron Beck,Power Forward and Center,Right,225
beckco01,May-27,1971,Memphis, Tennessee,1.4,45.1,60,68.4,88,9.1,2.7,1.4,0.5,45.9,"South Plains College, University of Arkansas",,,,,06-Jan-23,6.10,"Fairley in Memphis, Tennessee",Corey Beck,Point Guard,Right,190
becker01,Dec-11,1931,Philadelphia, Pennsylvania,1.8,38.3,,76.2,371,11.2,6.3,3.2,9,,University of Pennsylvania,,1953 NBA Draft,Philadelphia Warriors,,06-Apr-23,6.40,"West Catholic in Philadelphia, Pennsylvania",Ernie Beck,Shooting Guard,Right,190
beckear01,Jan-12,1942,Akron, Ohio,1,48,32.1,83.5,414,16.3,12.5,6.3,28.1,48.1,Arizona State University,22nd overall,3rd round,St. Louis Hawks,1964,06-Jul-23,6.70,"Camelback in Phoenix, Arizona",Arthur Becker,Power Forward and Small Forward,Right,205
beckemo01,Feb-24,1917,,,0.7,19.6,,50,43,-,3.8,-,-2.4,,Duquesne University,,,,,06-Jan-23,6.10,,Moe Becker,Guard/Forward,Right,185
bedelbo01,Jun-26,1944,Los Angeles, California,1.2,42.3,19,77.4,269,15.9,8.4,5.2,5.6,42.6,Stanford University,90th overall,10th round,Philadelphia 76ers,1966,06-Jul-23,6.70,"Bell Gardens in Bell Gardens, California",Bob Bedell,Power Forward,Right,205
bedfowi01,Dec-14,1963,Memphis, Tennessee,0.5,41.6,31.8,60.5,238,9.7,4.1,2.4,0.9,41.9,University of Memphis,6th overall,1st round,Phoenix Suns,1986,7-0,7.00,"Melrose in Memphis, Tennessee",William Bedford,Center,Right,225
beendha01,Jun-02,1916,Haarlem, Netherlands,0.5,26.5,,68.7,111,-,8.4,-,2,,Long Island University,,,,,06-Jun-23,6.60,"North Plainfield in North Plainfield, New Jersey",Hank Beenders,Center/Forward,Right,185
behagro01,Jan-14,1951,New York, New York,1.6,42.5,-,75.4,388,14.2,10.3,7,13,42.5,University of Minnesota,7th overall,1st round,Kansas City-Omaha Kings,1973,06-Sep-23,6.90,"DeWitt Clinton in Bronx, New York",Ron Behagen,Power Forward,Right,185
behnkel01,Feb-03,1929,Rockford, Illinois,1,27.3,,57.1,4,7.8,4,4.3,-0.1,,Bradley University,37th overall,4th round,Rochester Royals,1951,06-Jul-23,6.70,,Elmer Behnke,Center,Right,210
belinma01,Mar-25,1986,San Giovanni Persiceto, Italy,1.7,42.5,37.6,84.7,803,12.3,10,2.1,29.6,51.2,,18th overall,1st round,Golden State Warriors,2007,06-May-23,6.50,,Marco Belinelli,Shooting Guard and Small Forward,Right,210
bellch01,Mar-12,1979,Flint, Michigan,2.3,41.2,36.1,76.9,376,11.2,8.5,2.2,12.5,48.8,Michigan State University,,,,,06-Mar-23,6.30,"Flint Southwestern Academy in Flint, Michigan",Charlie Bell,Shooting Guard,Right,200
bellde01,Jun-02,1951,Cincinnati, Ohio,0.4,37.4,,53.5,63,10.7,2.8,1.9,0.1,,Drake University,83rd overall,5th round,New York Knicks,1973,06-May-23,6.50,"Wyoming in Cincinnati, Ohio",Dennis Bell,Small Forward,Right,185
belljo01,Jan-07,1995,Los Angeles, California,1.4,57,0,64.7,125,15.5,3.9,3.1,4.5,57,University of Oregon,38th overall,2nd round,Chicago Bulls,2017,06-Sep-23,6.90,"Long Beach Poly in Long Beach, California",Jordan Bell,Center,Right,224
bellra01,Sep-19,1976,St. Croix, U.S. VirgIslands,1.7,43.4,40.6,79.9,706,10.9,9.9,2.8,32.7,51.4,"Boston University, Florida International University",,,,,06-May-23,6.50,"Killian in Miami, Florida",Raja Bell,Shooting Guard,Right,204
belltr01,Nov-10,1980,Minneapolis, Minnesota,0.7,22.2,0,100,6,-4.5,1.8,0.7,-0.2,22.2,Boston College,16th overall,1st round,Boston Celtics,2003,06-Jan-23,6.10,"Academy of Holy Angels in Richfield, Minnesota",Troy Bell,Point Guard,Right,180
bellwh01,Sep-13,1932,Monticello, Kentucky,1.6,37.9,,63,36,9.8,5.1,2.6,0,,North Carolina State University,,,,,6-0,6.00,"Warsaw Community in Warsaw, Indiana",Whitey Bell,Point Guard,Right,180
bellawa01,Jul-24,1939,New Bern, North Carolina,2.4,51.6,,63.2,1043,19.8,20.1,13.7,130,,Indiana University,1st overall,1st round,Chicago Packers,1961,06-Nov-23,6.11,"J.T. Barber in New Bern, North Carolina",Walt Bellamy,Center,Right,225
bembrde01,Jul-04,1994,Charlotte, North Carolina,1.9,44.5,28.1,60.5,146,10,6.3,3.3,0.8,48.2,Saint Joseph's University,21st overall,1st round,Atlanta Hawks,2016,06-Jun-23,6.60,"The Patrick School in Elizabeth, New Jersey",DeAndre' Bembry,Shooting Guard and Small Forward,Right,210
bemorir01,Nov-18,1930,,,1,34.7,,67.2,131,10.4,6.3,2.6,1.3,,University of Illinois at Urbana-Champaign,,1953 NBA Draf,Milwaukee Hawks,,06-Mar-23,6.30,"Marshall in Chicago, Illinois",Irv Bemoras,Small Forward,Right,185
benbole01,Jul-23,1950,Columbia, South Carolina,1.6,39.4,,75.9,115,10.9,5.5,1.9,1.7,,Jacksonville University,27th overall,2nd round,Chicago Bulls,1974,06-Apr-23,6.40,"Booker T. Washington in Columbia, South Carolina",Leon Benbow,Shooting Guard,Right,185
bendedr01,Nov-17,1997,Capljina, Bosnia and Herzegovina,1.2,39.4,32.1,64.7,171,7.4,5.3,3.8,0.2,49.4,,4th overall,1st round,Phoenix Suns,2016,07-Jan-23,7.10,,Dragan Bender,Power Forward,Right,225
bendejo01,Jan-30,1981,Picayune, Mississippi,0.6,41.7,34,76.3,262,10.9,5.5,2.2,3.8,45.8,,5th overall,1st round,Toronto Raptors,1999,06-Nov-23,6.11,"Picayune Memorial in Picayune, Mississippi",Jonathan Bender,Small Forward,Right,202
benimje01,Aug-01,1991,Warrenton, Virginia,0,-,-,-,2,4.7,0,1.5,0,-,"Georgetown University, Towson University",,,,,06-Aug-23,6.80,"Fauquier in Warrenton, Virginia",Jerrelle Benimon,Power Forward,Right,245
benjabe01,Nov-22,1964,Monroe, Louisiana,1.3,49.7,4.8,72.1,807,14.8,11.4,7.5,32.7,49.7,Creighton University,3rd overall,1st round,Los Angeles Clippers,1985,7-0,7.00,"Carroll in Monroe, Louisiana",Benoit Benjamin,Center,Right,250
benjaco01,Feb-24,1978,Compton, California,0.9,39,28.9,65.2,153,8.9,5.5,1.7,-0.9,42.5,Oregon State University,28th overall,1st round,Chicago Bulls,1998,06-Jun-23,6.60,"Fontana in Fontana, California",Corey Benjamin,Shooting Guard and Point Guard,Right,200
bennean01,Mar-14,1993,Toronto, Canada,0.5,39.2,26.1,67,151,10.2,4.4,3.1,0.5,42,"University of Nevada, Las Vegas",1st overall,1st round,Cleveland Cavaliers,2013,06-Aug-23,6.80,"Findlay College Prep in Henderson, Nevada",Anthony Bennett,Power Forward,Right,245
benneel01,Feb-13,1970,Evanston, Illinois,1,34,27.3,72.2,21,6.2,2.3,0.5,-0.3,37.2,University of Notre Dame,38th overall,2nd round,Atlanta Hawks,1992,6-0,7.00,"Bellaire in Bellaire, Texas",Elmer Bennett,Point Guard,Right,170
bennema01,Aug-01,1973,Denton, Texas,0.4,53.4,33.3,51.1,68,18.2,4,2.7,1.9,53.6,Arizona State University,27th overall,1st round,Phoenix Suns,1995,06-Jun-23,6.60,"Denton in Denton, Texas",Mario Bennett,Power Forward and Small Forward,Right,235
benneme01,Jan-04,1955,Pittsburgh, Pennsylvania,1,38.2,0,60.9,204,10.8,6.9,4.7,0.9,38.2,University of Pittsburgh,,,,,06-Jul-23,6.70,"Peabody in Pittsburgh, Pennsylvania",Mel Bennett,Power Forward,Right,200
bennesp01,Aug-04,1943,Lakewood, New Jersey,1.4,38.2,24,64.8,59,6.8,7.5,2.5,0.5,39,Winston-Salem State University,,,,,06-Mar-23,6.30,"Laurinburg Institute in Laurinburg, North Carolina",Spider Bennett,Point Guard,Right,190
benneto01,Jun-01,1969,Green Bay, Wisconsin,2,41.2,33.5,73.2,152,9.5,3.5,1,1.6,46.4,University of Wisconsin-Green Bay,35th overall,2nd round,Charlotte Hornets,1992,6-0,6.00,"Preble in Green Bay, Wisconsin",Tony Bennett,Point Guard,Right,175
bennewi01,Feb-09,1965,Louisville, Kentucky,0.9,42.5,0,69.4,136,8.4,4.8,3,1.7,42.5,University of Kentucky,64th overall,3rd round,Cleveland Cavaliers,1988,06-Jul-23,6.70,"Male in Louisville, Kentucky",Winston Bennett,Small Forward,Right,210
benoida01,May-09,1968,Lafayette, Louisiana,0.6,43.8,31.9,79.5,492,12,7,4,16.9,47.2,University of Alabama,,,,,06-Aug-23,6.80,"Lafayette in Lafayette, Louisiana",David Benoit,Small Forward,Right,220
bensoke02,Aug-13,1988,Cleveland, Ohio,0,0,-,-,3,6,0,1,0,0,Oakland University,48th overall,2nd round,Atlanta Hawks,2011,06-Nov-23,6.11,"Detroit Country Day School in Beverly Hills, Michigan",Keith Benson,Center,Right,240
bensoke01,Dec-27,1954,New Castle, Indiana,1.8,49.3,20.6,75.7,680,14.2,9.1,5.7,33.6,49.4,Indiana University,1st overall,1st round,Milwaukee Bucks,1977,06-Oct-23,6.10,"Chrysler in New Castle, Indiana",Kent Benson,Center,Right,235
bentibe01,Mar-29,1995,Ghana,,0,0,0,-,3,-17.6,0,0.7,-0.1,0,Providence College,51st overall,2nd round,Boston Celtics,2016,06-Sep-23,6.90,"St. Andrew's School in Middletown, Delaware",Ben Bentil,Power Forward,Right,235
bercege01,Nov-22,1926,,,0.7,31.3,,0,3,-,3.3,-,-0.1,,Marquette University,,1948 BAA Draf,New York Knicks,,05-Nov-23,5.11,"Marquette University High School in Milwaukee, Wisconsin",Gene Berce,Guard/Forward,Right,175
bergega01,Jul-16,1932,Independence, Missouri,0.2,27.3,,100,6,4.7,1.3,1.3,0,,University of Utah,,1956 NBA Draf,New York Knicks,,06-Aug-23,6.80,,Gary Bergen,Center,Right,210
berghla01,Apr-02,1945,,,0.9,40.8,0,69.7,20,15.3,6.1,4.3,0.1,40.8,Weber State University,146th overall,11th round,Chicago Bulls,1969,06-Aug-23,6.80,,Larry Bergh,Power Forward,Right,210
berryri01,Oct-06,1964,Lansing, Michigan,1.3,45,40.6,78.9,64,13.1,11,3.1,2.4,50.7,"Oregon State University, San Jose State University",18th overall,1st round,Sacramento Kings,1988,06-Aug-23,6.80,"Live Oak in Morgan Hill, California",Ricky Berry,Shooting Guard,Right,205
berrywa01,May-14,1964,New York, New York,1.4,53.9,20,63.8,205,16.6,14.1,4.7,8.2,54,St. John's University,14th overall,1st round,Portland Trail Blazers,1986,06-Aug-23,6.80,"Benjamin Franklin in New York, New York",Walter Berry,Power Forward and Small Forward,Left,215
bertada02,Sep-09,1989,Valmiera, Latvia,0.8,25.5,29.4,-,12,2,2.8,0.8,-0.2,36.2,,,,,,06-Apr-23,6.40,,Dairis Bertans,Shooting Guard,Right,200
bertada01,Nov-12,1992,Valmiera, Latvia,1,44.4,40.4,84.6,220,13.3,6.2,2.3,9.3,59.1,,42nd overall,2nd round,Indiana Pacers,2011,06-Oct-23,6.10,,Davis Bertans,Power Forward,Right,225
beshode01,Nov-29,1956,Mechanicsburg, Pennsylvania,2,35.2,38.5,66.7,69,6.4,3.5,0.9,-0.9,37.2,California University of Pennslyvania,,,,,05-Nov-23,5.11,"Red Land in New Cumberland, Pennsylvania",Del Beshore,Point Guard,Right,165
besttr01,Jul-12,1972,Springfield, Massachusetts,3.5,43.1,34.5,83.5,708,13.8,7.6,1.8,30.9,46,Georgia Institute of Technology,23rd overall,1st round,Indiana Pacers,1995,05-Nov-23,5.11,"Springfield Central in Springfield, Massachusetts",Travis Best,Point Guard,Left,182
beverpa01,Jul-12,1988,Chicago, Illinois,3.5,41.2,38,77,380,12.5,9,4.3,24.8,51.7,University of Arkansas,42nd overall,2nd round,Los Angeles Lakers,2009,06-Jan-23,6.10,"Marshall in Chicago, Illinois",Patrick Beverley,Point Guard and Shooting Guard,Right,185
bhullsi01,Dec-02,1992,Ontario, Canada,0.3,50,-,-,3,44.3,0.7,0.3,0,50,New Mexico State University,,,,,07-May-23,7.50,"Huntington Prep in Huntington, West Virginia",Sim Bhullar,Center,Right,360
bialowe01,Jun-08,1945,Poughkeepsie, New York,0.8,41.8,39.7,78,70,12.9,8.7,1.3,1.5,44.3,University of Connecticut,37th overall,4th round,St. Louis Hawks,1967,06-Feb-23,6.20,"Franklin D Roosevelt in Hyde Park, New York",Wesley Bialosuknia,Shooting Guard,Right,185
biancal01,Mar-26,1932,Long Island City, New York,2.2,37.4,,70.7,687,9.6,8.1,2.5,8.2,,Bowling Green State University,18th overall,2nd round,Minneapolis Lakers,1954,06-Mar-23,6.30,"Long Island City HS in Long Island City, New York",Al Bianchi,Point Guard and Shooting Guard,Right,185
biasaha01,Jan-14,1922,Beano, Italy,0,40,,50,6,-,1,-,0.1,,Long Island University,,1947 BAA Draf,Boston Celtics,,05-Nov-23,5.11,,Hank Biasatti,Guard,Left,175
bibbyhe01,Nov-24,1949,Franklinton, North Carolina,3.3,42.4,29.3,78.2,675,12.3,8.6,2.3,24.5,42.8,"University of California, Los Angeles",58th overall,4th round,New York Knicks,1972,06-Jan-23,6.10,"Person-Albion in Franklinton, North Carolina",Henry Bibby,Point Guard,Right,185
bibbymi01,May-13,1978,Cherry Hill, New Jersey,5.5,43.6,37.9,80.2,1001,16.1,14.7,3.1,73.2,49.7,University of Arizona,2nd overall,1st round,Vancouver Grizzlies,1998,06-Jan-23,6.10,"Shadow Mountain in Phoenix, Arizona",Mike Bibby,Point Guard,Right,190
biedeed01,Aug-12,1945,,,0.4,0,,66.7,7,2.7,0.6,0.3,-0.1,,North Carolina State University,96th overall,9th round,St. Louis Hawks,1967,06-Jan-23,6.10,"Edgewood in Edgewood, Pennsylvania",Ed Biedenbach,Guard,Right,175
biedran01,Apr-02,1986,Riga, Latvia,0.9,59.4,0,50,516,15.3,6.3,7,30.7,59.4,,11th overall,1st round,Golden State Warriors,2004,06-Nov-23,6.11,"Valters Basketball School in Riga, Latvia",Andris Biedrins,Center,Left,240
bielkdo01,,,,,0.1,55.6,,57.1,7,12.2,2,1.3,0.2,,Valparaiso University,67th overall,8th round,Fort Wayne Pistons,1954,06-Jul-23,6.70,"Wilson in Saint Paul, Minnesota",Don Bielke,Center,Right,240
bigelbo01,Dec-26,1953,Boston, Massachusetts,0.4,41.4,,73.2,94,8.7,2.5,1.2,0.5,,University of Pennsylvania,13th overall,1st round,Kansas City Kings,1975,06-Jul-23,6.70,"Winchester in Winchester, Massachusetts",Bob Bigelow,Small Forward,Right,215
